scenario,cruise_speed_ms,wind_dir_deg,wind_speed_ms,cruise_alt_ft,drone_id,orig_lat,orig_lon,dest_lat,dest_lon,t_start_s,t_end_s,duration_s,od_distance_m,path_length_m,gs_mean_ms,gs_max_ms,alt_cruise_m
baseline__calm,20,0,0,100,50,4.636518,-74.080885,4.64619252,-74.06476309,0,113,113,2085.6399526731816,2096.9644,18.394424,21.04498,30.48
baseline__calm,20,0,0,100,156,4.77443,-74.09078,4.74413737,-74.10862485,0,204,204,3905.918619845864,3917.8372,19.1114,22.185698,30.48
baseline__calm,20,0,0,100,211,4.753517,-74.058813,4.74875327,-74.05404493,0,44,44,748.1662513111955,755.35876,16.78575,21.661634,30.48
baseline__calm,20,0,0,100,237,4.730015,-74.085452,4.72558218,-74.06592883,0,118,118,2218.9301576717025,2227.4133,18.717758,21.719944,30.48
baseline__calm,20,0,0,100,254,4.58766,-74.104985,4.57885472,-74.0975192,0,71,71,1281.9536902098484,1290.2798,17.920553,21.091743,30.48
baseline__calm,20,0,0,100,296,4.539368,-74.081646,4.54949504,-74.07271691,0,80,80,1499.215559234293,1512.6565,18.674772,21.956701,30.48
baseline__calm,20,0,0,100,400,4.690331,-74.066462,4.68550256,-74.08945949,0,137,137,2604.587020550556,2615.7864,18.954973,21.354065,30.48
baseline__calm,20,0,0,100,430,4.689375,-74.027285,4.6773431,-74.02539974,0,74,74,1354.1018879461062,1367.2532,18.230042,21.646263,30.48
baseline__calm,20,0,0,100,458,4.636392,-74.148728,4.66531835,-74.15806463,0,174,174,3378.81343826391,3393.1794,19.389597,21.945242,30.48
baseline__calm,20,0,0,100,517,4.661508,-74.081861,4.66900297,-74.06431499,0,113,113,2115.629102092545,2125.869,18.647972,21.694504,30.48
baseline__calm,20,0,0,100,541,4.746683,-74.048159,4.7521658,-74.05348109,0,48,48,848.2326038041824,863.5713,17.623903,21.140789,30.48
baseline__calm,20,0,0,100,577,4.581849,-74.134411,4.58857067,-74.13503956,0,46,46,750.6556146601503,756.5899,16.097658,20.524754,30.48
baseline__calm,20,0,0,100,599,4.750662,-74.118028,4.76628301,-74.10238315,0,126,126,2454.09225269954,2468.731,19.438826,22.937454,30.48
baseline__calm,20,0,0,100,605,4.750662,-74.118028,4.73546942,-74.15273867,0,216,216,4201.060550651655,4216.464,19.43071,22.12449,30.48
baseline__calm,20,0,0,100,619,4.642265,-74.099955,4.62483097,-74.09650929,0,106,106,1975.8335333099865,1982.1095,18.524387,21.155415,30.48
baseline__calm,20,0,0,100,621,4.708081,-74.093378,4.72644129,-74.0825416,0,126,126,2368.5658056972256,2380.9458,18.747604,21.445084,30.48
baseline__calm,20,0,0,100,632,4.669461,-74.059313,4.65377031,-74.08135516,0,157,157,3001.9448814761536,3010.2195,19.052023,22.07573,30.48
baseline__calm,20,0,0,100,660,4.647057,-74.073369,4.63766994,-74.06480846,0,77,77,1410.5535210569158,1421.0432,18.218502,21.437576,30.48
baseline__calm,20,0,0,100,730,4.523436,-74.120529,4.53865972,-74.11306648,0,99,99,1884.1005161418009,1893.8014,18.938013,21.743681,30.48
baseline__calm,20,0,0,100,782,4.674941,-74.062976,4.67297076,-74.04895274,0,84,84,1569.4955003632538,1581.5552,18.606531,21.575863,30.48
baseline__calm,20,0,0,100,815,4.588893,-74.079544,4.6094387,-74.09698405,0,153,153,2992.62207495867,3007.6633,19.530281,21.899239,30.48
baseline__calm,20,0,0,100,862,4.636844,-74.089494,4.6259328,-74.08890383,0,64,64,1215.0319814747008,1226.7382,18.872894,22.267754,30.48
baseline__calm,20,0,0,100,867,4.559353,-74.07193,4.57656169,-74.06608329,0,110,110,2020.281181717029,2030.9333,18.296698,21.543837,30.48
baseline__calm,20,0,0,100,881,4.723576,-74.098785,4.72550012,-74.08771228,0,69,69,1245.5599207159564,1254.3062,17.91866,21.111221,30.48
baseline__calm,20,0,0,100,951,4.712762,-74.090362,4.70672289,-74.09093236,0,40,40,674.4865281889123,680.2304,16.590986,21.154541,30.48
baseline__calm,20,0,0,100,954,4.712762,-74.090362,4.72310599,-74.08879622,0,66,66,1163.2137908369268,1174.5464,17.530542,21.119984,30.48
baseline__calm,20,0,0,100,1044,4.616363,-74.10322,4.62032497,-74.09711091,0,47,47,807.8005619626109,817.565,17.032604,20.933329,30.48
baseline__calm,20,0,0,100,1049,4.588851,-74.074758,4.58575884,-74.09771354,0,138,138,2567.489641456739,2577.1465,18.540623,22.016623,30.48
baseline__calm,20,0,0,100,1091,4.680052,-74.127643,4.68711814,-74.12164488,0,57,57,1029.1864403926927,1040.3009,17.936222,21.490158,30.48
baseline__calm,20,0,0,100,1111,4.501419,-74.05517,4.50769181,-74.03802848,0,110,110,2024.136866396264,2034.835,18.331846,21.120975,30.48
baseline__calm,20,0,0,100,1115,4.542558,-74.118574,4.53184619,-74.12266397,0,71,71,1274.460971376836,1280.3369,17.782457,21.395643,30.48
baseline__calm,20,0,0,100,1146,4.570864,-74.074595,4.57614367,-74.10005753,0,151,151,2882.701629924328,2894.9495,19.045721,22.094418,30.48
baseline__calm,20,0,0,100,1148,4.556989,-74.113308,4.5471324,-74.12502798,0,90,90,1699.665671660489,1710.9713,18.801882,22.356567,30.48
baseline__calm,20,0,0,100,1229,4.587446,-74.089543,4.58027755,-74.10135219,0,84,84,1532.5264801139292,1542.7214,18.149664,21.523401,30.48
baseline__calm,20,0,0,100,1285,4.583329,-74.121578,4.55695361,-74.13320523,0,169,169,3203.48581335251,3214.8796,18.911057,21.49436,30.48
baseline__calm,20,0,0,100,1316,4.52972,-74.114536,4.51974277,-74.12601745,0,93,93,1688.3637976203895,1697.9448,18.063242,21.323765,30.48
baseline__calm,20,0,0,100,1353,4.675722,-74.083619,4.69537878,-74.1094481,0,187,187,3601.5480544950515,3617.1484,19.24015,21.942837,30.48
baseline__calm,20,0,0,100,1361,4.674601,-74.066159,4.68862456,-74.04486234,0,148,148,2828.7836430716625,2839.4292,19.056572,22.246096,30.48
baseline__calm,20,0,0,100,1470,4.700863,-74.053551,4.69106535,-74.05701183,0,63,63,1154.9883594991622,1164.4625,18.194727,21.897182,30.48
baseline__calm,20,0,0,100,1532,4.682759,-74.134544,4.68434183,-74.14821013,0,85,85,1524.7224548815043,1534.0148,17.837383,20.825838,30.48
baseline__calm,20,0,0,100,1540,4.497558,-74.074245,4.48088043,-74.06607511,0,113,113,2063.795577488468,2071.2134,18.16854,21.141333,30.48
baseline__calm,20,0,0,100,1604,4.675345,-74.042861,4.66031122,-74.04046349,0,88,88,1692.6648526242568,1707.0416,19.180243,22.144821,30.48
baseline__calm,20,0,0,100,1630,4.668003,-74.085355,4.6636447,-74.06920369,0,100,100,1854.4350012775983,1865.226,18.467583,22.140926,30.48
baseline__calm,20,0,0,100,1647,4.619304,-74.067536,4.61892965,-74.07526518,0,49,49,857.6649064303991,868.9029,17.378057,20.785713,30.48
baseline__calm,20,0,0,100,1676,4.649645,-74.06873,4.65486108,-74.07846501,0,68,68,1224.9344514260565,1238.321,17.946682,21.21197,30.48
